time,,open,high,low,close,volume
2013.11.26,0:00,1250.85,1257.68,1239.27,1242.39,38181
2013.11.27,0:00,1241.78,1254.36,1235.95,1237.37,37950
2013.11.28,0:00,1237.16,1245.49,1234.53,1244.61,21708
2013.11.29,0:00,1243.5,1254.37,1240.39,1251.32,26820
2013.12.02,0:00,1250.25,1250.25,1217.47,1219.3,44005
2013.12.03,0:00,1219.25,1225.81,1214.89,1222.93,40223
2013.12.04,0:00,1223.29,1251.17,1211.32,1243.23,50327
2013.12.05,0:00,1242.85,1243.13,1216.68,1224.72,51934
2013.12.06,0:00,1224.78,1244.3,1212.29,1228.65,50163
2013.12.09,0:00,1230.35,1242.75,1224.94,1239.9,36396
2013.12.10,0:00,1239.53,1267.46,1237.57,1261.69,45254
2013.12.11,0:00,1261.3,1262.98,1250.76,1251.8,46246
2013.12.12,0:00,1252,1256.63,1223.58,1224.93,52043
2013.12.13,0:00,1225.69,1238.36,1220.19,1238.2,44876
2013.12.16,0:00,1237.69,1251.58,1227.43,1240.83,45296
2013.12.17,0:00,1240.02,1247.72,1227.05,1230.4,45363
2013.12.18,0:00,1230.7,1244.21,1215.83,1217.97,54112
2013.12.19,0:00,1218.88,1226.17,1186.86,1188.1,68257
2013.12.20,0:00,1188.9,1207.12,1188.5,1202.7,48624
2013.12.23,0:00,1202.55,1205.85,1192.34,1198.31,35441
2013.12.24,0:00,1197.9,1205.21,1195.83,1204.4,21792
2013.12.26,0:00,1203.86,1215.49,1200.78,1210.11,25968
2013.12.27,0:00,1210.33,1218.69,1208.62,1212.65,35590
2013.12.30,0:00,1213.41,1215.84,1194.55,1196.13,38945
2013.12.31,0:00,1197.08,1214.22,1182.1,1200.82,41379
2014.01.02,0:00,1204.73,1230.44,1202.93,1223.99,55558
2014.01.03,0:00,1222.18,1239.86,1221.66,1236.68,48053
2014.01.06,0:00,1236.58,1248.01,1214.99,1237.49,52608
2014.01.07,0:00,1237.28,1244.93,1224.63,1231.56,48148
2014.01.08,0:00,1231.35,1232.06,1218.07,1225.48,49068
2014.01.09,0:00,1225.55,1231,1223.14,1227.52,38215
2014.01.10,0:00,1226.88,1248.53,1226.84,1248,42676
2014.01.13,0:00,1247.68,1254.67,1243.28,1252.63,36996
2014.01.14,0:00,1252.6,1254.91,1241.26,1244.68,38362
2014.01.15,0:00,1245.1,1245.1,1233.88,1241.38,36152
2014.01.16,0:00,1241.55,1244.9,1236.01,1241.9,33934
2014.01.17,0:00,1241.93,1254.55,1237.36,1253.55,36112
2014.01.20,0:00,1252.75,1261.57,1252.35,1254.54,18601
2014.01.21,0:00,1254.18,1255.42,1235.31,1240.93,38758
2014.01.22,0:00,1240.45,1243.27,1235.54,1236.7,29465
2014.01.23,0:00,1235.73,1265.05,1231.17,1263.49,46407
2014.01.24,0:00,1263.33,1272.23,1256.54,1269.6,49133
2014.01.27,0:00,1269.65,1278.78,1251.61,1256.56,49530
2014.01.28,0:00,1255.33,1260.99,1248.24,1256.3,38329
2014.01.29,0:00,1255.2,1269.78,1248.7,1266.93,46436
2014.01.30,0:00,1266.45,1267.39,1237.68,1243.26,44252
2014.01.31,0:00,1243.65,1254.56,1238.14,1244.24,42204
2014.02.03,0:00,1242.35,1265.97,1240.46,1257.05,43746
2014.02.04,0:00,1258.1,1260.57,1246.89,1254.19,39097
2014.02.05,0:00,1254.28,1273.98,1252.05,1257.35,41780
2014.02.06,0:00,1257.38,1266.53,1252.45,1257.62,36016
2014.02.07,0:00,1256.63,1271.4,1255.87,1266.65,42351
2014.02.10,0:00,1265.35,1277.47,1264.78,1274.35,36096
2014.02.11,0:00,1273.85,1293.5,1273.38,1290.9,47600
2014.02.12,0:00,1290.17,1295.9,1283.6,1290.62,41360
2014.02.13,0:00,1290.23,1302.55,1285.88,1302.33,42534
2014.02.14,0:00,1301.53,1320.82,1299.51,1318.15,49890
2014.02.17,0:00,1318.7,1329.45,1318.55,1328.29,33237
2014.02.18,0:00,1328.28,1331.74,1312.25,1321.49,50345
2014.02.19,0:00,1321.39,1322.47,1308.48,1311.03,46162
2014.02.20,0:00,1311.08,1324.64,1306.99,1322.58,48977
2014.02.21,0:00,1322.3,1328.13,1315.71,1323.64,38701
2014.02.24,0:00,1325,1338.58,1318.42,1336.47,46677
2014.02.25,0:00,1335.88,1343.21,1330.91,1340.09,42671
2014.02.26,0:00,1340.6,1344.97,1321.98,1330.11,47233
2014.02.27,0:00,1329.6,1335.79,1323.42,1330.84,42563
2014.02.28,0:00,1330.75,1332.94,1319.41,1325.9,44642
2014.03.03,0:00,1332.18,1354.33,1330.36,1350.13,49359
2014.03.04,0:00,1349.28,1352.18,1330.86,1333.9,44682
2014.03.05,0:00,1334.12,1341.4,1332.28,1336.35,37761
2014.03.06,0:00,1336.64,1353.19,1330.8,1350.3,41331
2014.03.07,0:00,1350.03,1352.54,1327.56,1339.75,46777
2014.03.10,0:00,1338.27,1344.23,1327.67,1339.55,42004
2014.03.11,0:00,1339.7,1352.18,1337.32,1348.3,43220
2014.03.12,0:00,1348.44,1370.46,1345.05,1366.5,53297
2014.03.13,0:00,1366.06,1374.64,1364.12,1370.3,54324
2014.03.14,0:00,1370.9,1387.56,1367.47,1382.35,51045
2014.03.17,0:00,1388.25,1388.58,1361.52,1365.6,47458
2014.03.18,0:00,1365.59,1367.19,1350.33,1356.3,48864
2014.03.19,0:00,1356.4,1359.26,1327.28,1329.55,58988
2014.03.20,0:00,1326.84,1334.17,1320.12,1329.45,55829
2014.03.21,0:00,1330.05,1342.05,1328.79,1334.3,39817
2014.03.24,0:00,1330.1,1333.88,1307.55,1308.25,48620
2014.03.25,0:00,1308.78,1316.96,1305.31,1310.5,47455
2014.03.26,0:00,1310.27,1315.94,1298.24,1304.55,47813
2014.03.27,0:00,1304.64,1306.42,1288.67,1291.65,47727
2014.03.28,0:00,1291.68,1298.34,1285.33,1294.7,43241
2014.03.31,0:00,1293.45,1298.12,1281.99,1283.65,44992
2014.04.01,0:00,1284.37,1287.63,1277.26,1278.5,39374
2014.04.02,0:00,1278.45,1294.12,1278.12,1289.55,37822
2014.04.03,0:00,1289.63,1293.48,1281.21,1285.91,35866
2014.04.04,0:00,1286.15,1306.37,1283.8,1303,38789
2014.04.07,0:00,1302.85,1303.75,1295.22,1296.85,24215
2014.04.08,0:00,1296.32,1313.95,1296.27,1308.68,26770
2014.04.09,0:00,1307.84,1314.7,1300.51,1311.45,26341
2014.04.10,0:00,1311.11,1324.12,1310.42,1318.4,26197
2014.04.11,0:00,1317.37,1323.48,1313.79,1317.85,23653
2014.04.14,0:00,1319.95,1330.74,1318.34,1327.5,36153
2014.04.15,0:00,1326.18,1327.85,1284.38,1302.05,51088
2014.04.16,0:00,1302.37,1306.68,1293.12,1301.5,42582
2014.04.17,0:00,1301.34,1303.75,1292.75,1294.65,33229
2014.04.21,0:00,1294,1301.25,1281.53,1289.05,33327
2014.04.22,0:00,1289.68,1292.35,1276.78,1283.15,34677
2014.04.23,0:00,1283.67,1288.58,1280.48,1283.4,29366
2014.04.24,0:00,1283.27,1298.18,1268.12,1292.75,43514
2014.04.25,0:00,1293.36,1304.68,1290,1302.6,29266
2014.04.28,0:00,1302.55,1306.09,1291.63,1296.27,24993
2014.04.29,0:00,1295.35,1300.99,1285.9,1295.3,28701
2014.04.30,0:00,1295.15,1297.73,1284.54,1290.95,38752
2014.05.01,0:00,1291.19,1292.49,1276.91,1283.75,32561
2014.05.02,0:00,1284.27,1304.23,1276.83,1299.28,40059
2014.05.05,0:00,1299.8,1315.21,1299.12,1309.24,35243
2014.05.06,0:00,1309.2,1313.67,1304,1307.45,29749
2014.05.07,0:00,1307.47,1314.05,1286.26,1289.33,38238
2014.05.08,0:00,1289.5,1294.98,1284.66,1288.9,36634
2014.05.09,0:00,1289.2,1293.99,1285.1,1288.3,31555
2014.05.12,0:00,1288.99,1303.38,1277.46,1295.37,35135
2014.05.13,0:00,1295.47,1298.35,1288.65,1293.13,34980
2014.05.14,0:00,1293.26,1308.64,1291.17,1305.98,33516
2014.05.15,0:00,1304.95,1306.7,1290.52,1295.7,39459
2014.05.16,0:00,1296.12,1297.85,1287.37,1293,31361
2014.05.19,0:00,1292.45,1304.99,1289.07,1292.6,31760
